Item,Stem,Answer,A,B,C,D,E,F
,,,,,,,,
1,"Teacher says to student: ""You sure are smart!""",B,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
2,"Teacher says to student: ""Wow... you worked really hard on this assignment!""",A,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
3,"Coach says to player: ""If we practice with discipline, we will play with discipline.""",A,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
4,"Coach says to player: ""You are not cut out for this sport.""",B,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
5,"Artist says to a life model ""Could you cover your hands with the cloth? I can't draw hands well and I don't want it to ruin the picture.""",B,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
6,"Student says to classmate: ""I am just not good at chemsitry. I think I will take the online version of Chemistry 102 because I've heard it is easier""",B,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
7,"Student says to friend: ""I hate physics! There are so many things I'd rather spend my time on than studying physics. If that means I'll never improve at physics, that's fine with me!""",A,Growth mindset,Fixed mindset,NA,NA,NA,NA
,,,,,,,,
8,"Student says to friend: ""My last three girlfriends broke up with me because I don't communicate well. I am doomed to be alone forever.""",B,Growth mindset,Fixed mindset,NA,NA,NA,NA